Date,Site,Count,match,Year
2019-01-16,N - 25th St. and Acoma-Shadow Mtn N,45.0,Shadow Mountain,2019
2019-01-16,N - Deem Hills - East - 39th Ave TH,103.0,Deem Hills,2019
2019-01-16,N - Deem Hills - West - 51st Ave TH,91.0,Deem Hills,2019
2019-01-16,N - Lookout Mountain - 306 - North Side TH,383.0,Lookout Mountain,2019
2019-01-16,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-16,South Mountain- Desert Classic Trail,301.0,South Mountain,2019
2019-01-16,South Mountain-620 Trailhead,51.0,South Mountain,2019
2019-01-16,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-16,South Mountain-Holbert Trail,76.0,South Mountain,2019
2019-01-16,South Mountain-Judith Tunell Trail,66.0,South Mountain,2019
2019-01-16,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-16,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-16,South Mountain-Mormon Trail,353.0,South Mountain,2019
2019-01-16,South Mountain-Pima Dirt Rd. ,787.0,South Mountain,2019
2019-01-16,South Mountain-Pima West Loop,465.0,South Mountain,2019
2019-01-16,South Mountain-Telegraph Pass Trail,189.0,South Mountain,2019
2019-01-17,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-17,E - Camelback - Echo Canyon Trail,802.0,Echo Canyon Camelback Mountain,2019
2019-01-17,E - PMP - Piestewa Summit Trail,,Piestewa Peak,2019
2019-01-17,N - 25th St. and Acoma-Shadow Mtn N,43.0,Shadow Mountain,2019
2019-01-17,N - Deem Hills - East - 39th Ave TH,83.0,Deem Hills,2019
2019-01-17,N - Deem Hills - West - 51st Ave TH,103.0,Deem Hills,2019
2019-01-17,N - Lookout Mountain - 306 - North Side TH,414.0,Lookout Mountain,2019
2019-01-17,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-17,South Mountain- Desert Classic Trail,263.0,South Mountain,2019
2019-01-17,South Mountain-620 Trailhead,56.0,South Mountain,2019
2019-01-17,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-17,South Mountain-Holbert Trail,96.0,South Mountain,2019
2019-01-17,South Mountain-Judith Tunell Trail,120.0,South Mountain,2019
2019-01-17,South Mountain-Kiwanis Trail ,,South Mountain,2019
